Credit Transaction ID,Type,Payment Status,Transaction ID,Credit Amount,Label Amount,Currency,Service,Carrier,Created Date
C-772085681,purchase,completed,T-772085681,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:16
C-772085683,purchase,completed,T-772085683,0.07,7.13,USD,UPS_PTP_GROUNDSAVER,UPS,November 01 2025 16:19:16
C-772085684,purchase,completed,T-772085684,0.03,5.26,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:16
C-772085686,purchase,completed,T-772085686,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:17
C-772085687,purchase,completed,T-772085687,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:17
C-772085688,purchase,completed,T-772085688,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:17
C-773063360,purchase,completed,T-773063360,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:26
C-773063363,purchase,completed,T-773063363,0.03,5.41,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:26
C-773063362,purchase,completed,T-773063362,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:26
C-773063364,purchase,completed,T-773063364,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:27
C-773063365,purchase,completed,T-773063365,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:27
C-773063366,purchase,completed,T-773063366,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:27
C-773063371,purchase,completed,T-773063371,0.07,7.13,USD,UPS_PTP_GROUNDSAVER,UPS,November 02 2025 17:30:27
C-773063368,purchase,completed,T-773063368,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:27
C-773063373,purchase,completed,T-773063373,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063375,purchase,completed,T-773063375,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063376,purchase,completed,T-773063376,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063370,purchase,completed,T-773063370,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063369,purchase,completed,T-773063369,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063374,purchase,completed,T-773063374,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063378,purchase,completed,T-773063378,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:28
C-773063377,purchase,completed,T-773063377,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:29
C-773063389,purchase,completed,T-773063389,0.03,5.26,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:29
C-773063390,purchase,completed,T-773063390,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:29
C-773063392,purchase,completed,T-773063392,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:29
C-773063391,purchase,completed,T-773063391,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:29
C-773063393,purchase,completed,T-773063393,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:29
C-773063394,purchase,completed,T-773063394,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063395,purchase,completed,T-773063395,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063396,purchase,completed,T-773063396,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063397,purchase,completed,T-773063397,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063399,purchase,completed,T-773063399,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063400,purchase,completed,T-773063400,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063401,purchase,completed,T-773063401,0.06,6.14,USD,UPS_PTP_GROUNDSAVER,UPS,November 02 2025 17:30:30
C-773063403,purchase,completed,T-773063403,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:30
C-773063402,purchase,completed,T-773063402,0.02,4.88,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:31
C-773063416,purchase,completed,T-773063416,0.1,9.66,USD,UPS_PTP_GROUNDSAVER,UPS,November 02 2025 17:30:31
C-773063421,purchase,completed,T-773063421,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:32
C-773063428,purchase,completed,T-773063428,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:32
C-773063429,purchase,completed,T-773063429,0.04,7.43,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 02 2025 17:30:32
C-773063430,purchase,completed,T-773063430,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:32
C-773063431,purchase,completed,T-773063431,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:32
C-773063434,purchase,completed,T-773063434,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 02 2025 17:30:33
C-773063437,purchase,completed,T-773063437,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 02 2025 17:30:33
credit_ae8d5dbf-6bd2-435f-a047-09bac9f5b6d7,redemption,completed,credit_ae8d5dbf-6bd2-435f-a047-09bac9f5b6d7,10.66,,USD,,,November 03 2025 06:00:20
C-774201526,purchase,completed,T-774201526,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:36
C-774201549,purchase,completed,T-774201549,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201554,purchase,completed,T-774201554,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201557,purchase,completed,T-774201557,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201593,purchase,completed,T-774201593,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201583,purchase,completed,T-774201583,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201607,purchase,completed,T-774201607,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201628,purchase,completed,T-774201628,0.03,5.16,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:37
C-774201603,purchase,completed,T-774201603,0.03,5.41,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:38
C-774201648,purchase,completed,T-774201648,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:38
C-774201655,purchase,completed,T-774201655,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:38
C-774201665,purchase,completed,T-774201665,0.03,6.84,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:38
C-774201653,purchase,completed,T-774201653,0.04,8.81,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 03 2025 14:35:38
C-774201670,purchase,completed,T-774201670,0.03,5.41,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:38
C-774201676,purchase,completed,T-774201676,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:38
C-774201682,purchase,completed,T-774201682,0.1,9.66,USD,UPS_PTP_GROUNDSAVER,UPS,November 03 2025 14:35:38
C-774201685,purchase,completed,T-774201685,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:39
C-774201646,purchase,completed,T-774201646,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 03 2025 14:35:39
C-774201692,purchase,completed,T-774201692,0.02,4.91,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:39
C-774201695,purchase,completed,T-774201695,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 03 2025 14:35:39
C-774201694,purchase,completed,T-774201694,0.03,6.17,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:39
C-774201702,purchase,completed,T-774201702,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:39
C-774201701,purchase,completed,T-774201701,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:39
C-774201708,purchase,completed,T-774201708,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201706,purchase,completed,T-774201706,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201705,purchase,completed,T-774201705,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201715,purchase,completed,T-774201715,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201717,purchase,completed,T-774201717,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 03 2025 14:35:40
C-774201716,purchase,completed,T-774201716,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201720,purchase,completed,T-774201720,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201718,purchase,completed,T-774201718,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:40
C-774201724,purchase,completed,T-774201724,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:41
C-774201721,purchase,completed,T-774201721,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:41
C-774201727,purchase,completed,T-774201727,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:41
C-774201723,purchase,completed,T-774201723,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:41
C-774201730,purchase,completed,T-774201730,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:41
C-774201733,purchase,completed,T-774201733,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:41
C-774201736,purchase,completed,T-774201736,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:42
C-774201738,purchase,completed,T-774201738,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:42
C-774201749,purchase,completed,T-774201749,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:35:42
C-774201752,purchase,completed,T-774201752,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 03 2025 14:35:42
C-774201753,purchase,completed,T-774201753,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 03 2025 14:35:42
C-774201767,purchase,completed,T-774201767,0.06,6.14,USD,UPS_PTP_GND,UPS,November 03 2025 14:35:44
C-774201656,purchase,completed,T-774201656,0.04,8.81,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 03 2025 14:36:38
C-774201691,purchase,completed,T-774201691,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 03 2025 14:36:39
C-774201677,purchase,completed,T-774201677,0.03,5.41,USD,USPS_PTP_GAL,USPS,November 03 2025 14:37:39
C-775906484,purchase,completed,T-775906484,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 10:04:48
C-776213852,purchase,completed,T-776213852,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:30
C-776213851,purchase,completed,T-776213851,0.02,4.79,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:30
C-776213853,purchase,completed,T-776213853,0.04,8.81,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 04 2025 15:02:31
C-776213856,purchase,completed,T-776213856,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:31
C-776213854,purchase,completed,T-776213854,0.04,7.41,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:31
C-776213857,purchase,completed,T-776213857,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:31
C-776213859,purchase,completed,T-776213859,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:31
C-776213866,purchase,completed,T-776213866,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213868,purchase,completed,T-776213868,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213867,purchase,completed,T-776213867,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213858,purchase,completed,T-776213858,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:32
C-776213862,purchase,completed,T-776213862,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213869,purchase,completed,T-776213869,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:32
C-776213871,purchase,completed,T-776213871,0.04,7.7,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213870,purchase,completed,T-776213870,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213873,purchase,completed,T-776213873,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:32
C-776213875,purchase,completed,T-776213875,0.07,7.13,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:33
C-776213876,purchase,completed,T-776213876,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:33
C-776213880,purchase,completed,T-776213880,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:33
C-776213878,purchase,completed,T-776213878,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:33
C-776213882,purchase,completed,T-776213882,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213883,purchase,completed,T-776213883,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213885,purchase,completed,T-776213885,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213886,purchase,completed,T-776213886,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213887,purchase,completed,T-776213887,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213890,purchase,completed,T-776213890,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213891,purchase,completed,T-776213891,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:34
C-776213889,purchase,completed,T-776213889,0.05,9.74,USD,USPS_PTP_GAC,USPS,November 04 2025 15:02:34
C-776213893,purchase,completed,T-776213893,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213888,purchase,completed,T-776213888,0.07,7.02,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:35
C-776213897,purchase,completed,T-776213897,0.03,6.69,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213895,purchase,completed,T-776213895,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213892,purchase,completed,T-776213892,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213896,purchase,completed,T-776213896,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213898,purchase,completed,T-776213898,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213894,purchase,completed,T-776213894,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213899,purchase,completed,T-776213899,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:35
C-776213900,purchase,completed,T-776213900,0.07,6.57,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:36
C-776213902,purchase,completed,T-776213902,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:36
C-776213904,purchase,completed,T-776213904,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:36
C-776213907,purchase,completed,T-776213907,0.04,8.81,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 04 2025 15:02:36
C-776213913,purchase,completed,T-776213913,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:36
C-776213930,purchase,completed,T-776213930,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:37
C-776213927,purchase,completed,T-776213927,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:37
C-776213929,purchase,completed,T-776213929,0.07,6.57,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:37
C-776213934,purchase,completed,T-776213934,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:38
C-776213936,purchase,completed,T-776213936,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:38
C-776213937,purchase,completed,T-776213937,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 04 2025 15:02:38
C-776213941,purchase,completed,T-776213941,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:39
C-776213958,purchase,completed,T-776213958,0.03,5.41,USD,USPS_PTP_GAL,USPS,November 04 2025 15:02:39
C-777597754,purchase,completed,T-777597754,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 10:31:38
C-777597755,purchase,completed,T-777597755,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 05 2025 10:31:39
C-778096718,purchase,completed,T-778096718,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:02
C-778096717,purchase,completed,T-778096717,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:02
C-778096724,purchase,completed,T-778096724,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:02
C-778096725,purchase,completed,T-778096725,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:02
C-778096722,purchase,completed,T-778096722,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:02
C-778096727,purchase,completed,T-778096727,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:02
C-778096726,purchase,completed,T-778096726,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:03
C-778096729,purchase,completed,T-778096729,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:03
C-778096731,purchase,completed,T-778096731,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:03
C-778096733,purchase,completed,T-778096733,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:03
C-778096730,purchase,completed,T-778096730,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:03
C-778096736,purchase,completed,T-778096736,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:04
C-778096739,purchase,completed,T-778096739,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:04
C-778096740,purchase,completed,T-778096740,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:04
C-778096742,purchase,completed,T-778096742,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:04
C-778096741,purchase,completed,T-778096741,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:04
C-778096744,purchase,completed,T-778096744,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:04
C-778096747,purchase,completed,T-778096747,0.03,5.32,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:04
C-778096748,purchase,completed,T-778096748,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096746,purchase,completed,T-778096746,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096752,purchase,completed,T-778096752,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096754,purchase,completed,T-778096754,0.03,5.55,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096751,purchase,completed,T-778096751,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096755,purchase,completed,T-778096755,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096753,purchase,completed,T-778096753,0.03,6.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096758,purchase,completed,T-778096758,0.02,4.88,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096759,purchase,completed,T-778096759,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096757,purchase,completed,T-778096757,0.07,7.13,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:05
C-778096761,purchase,completed,T-778096761,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096762,purchase,completed,T-778096762,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096763,purchase,completed,T-778096763,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:05
C-778096765,purchase,completed,T-778096765,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:06
C-778096767,purchase,completed,T-778096767,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:06
C-778096771,purchase,completed,T-778096771,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:06
C-778096772,purchase,completed,T-778096772,0.06,6.44,USD,UPS_PTP_GND,UPS,November 05 2025 18:39:06
C-778096773,purchase,completed,T-778096773,0.06,6.32,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:06
C-778096776,purchase,completed,T-778096776,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:06
C-778096783,purchase,completed,T-778096783,0.04,8.81,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 05 2025 18:39:06
C-778096806,purchase,completed,T-778096806,0.07,7.13,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:07
C-778096774,purchase,completed,T-778096774,0.06,6.33,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:07
C-778096817,purchase,completed,T-778096817,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:07
C-778096818,purchase,completed,T-778096818,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:07
C-778096826,purchase,completed,T-778096826,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:07
C-778096814,purchase,completed,T-778096814,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:07
C-778096833,purchase,completed,T-778096833,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:08
C-778096835,purchase,completed,T-778096835,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:08
C-778096847,purchase,completed,T-778096847,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:08
C-778096845,purchase,completed,T-778096845,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:08
C-778096848,purchase,completed,T-778096848,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:08
C-778096837,purchase,completed,T-778096837,0.04,8.55,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 05 2025 18:39:08
C-778096842,purchase,completed,T-778096842,0.07,7.02,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:39:08
C-778096853,purchase,completed,T-778096853,0.06,6.14,USD,UPS_PTP_GND,UPS,November 05 2025 18:39:08
C-778096851,purchase,completed,T-778096851,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:08
C-778096858,purchase,completed,T-778096858,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:09
C-778096878,purchase,completed,T-778096878,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 05 2025 18:39:10
C-778096728,purchase,completed,T-778096728,0.07,7.4,USD,UPS_PTP_GROUNDSAVER,UPS,November 05 2025 18:40:03
C-779456803,purchase,completed,T-779456803,0.04,7.92,USD,USPS_PTP_GAC,USPS,November 06 2025 15:14:34
C-779456802,purchase,completed,T-779456802,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 06 2025 15:14:34
